v2r_fpr,v2r_tpr,rho_fpr,rho_tpr
0.4923780487804878,0.8144888287068381,0.21138211382113822,0.5730659025787965
0.49390243902439024,0.8192281651997292,0.2222222222222222,0.5787965616045845
0.5,0.8246445497630331,0.22493224932249323,0.5802292263610315
0.5076219512195121,0.8287068381855112,0.22764227642276422,0.5859598853868195
0.5152439024390244,0.8368314150304672,0.23306233062330622,0.5945558739255015
0.524390243902439,0.8408937034529451,0.23306233062330622,0.6031518624641834
0.5320121951219512,0.8456330399458362,0.24119241192411925,0.6146131805157593
0.5426829268292683,0.8503723764387271,0.24390243902439024,0.6203438395415473
0.551829268292683,0.8564658090724442,0.24390243902439024,0.6346704871060171
0.5594512195121951,0.8584969532836831,0.24932249322493225,0.6361031518624641
0.5746951219512195,0.8666215301286392,0.25203252032520324,0.6404011461318052
0.5853658536585366,0.8693297224102912,0.2601626016260163,0.6432664756446992
0.5899390243902439,0.8720379146919431,0.26287262872628725,0.6532951289398281
0.600609756097561,0.8767772511848341,0.26287262872628725,0.6590257879656161
0.6082317073170732,0.8794854434664862,0.27100271002710025,0.669054441260745
0.6204268292682927,0.8869329722410291,0.28184281842818426,0.670487106017192
0.6295731707317073,0.8903182125930941,0.28184281842818426,0.6762177650429799
0.635670731707317,0.8957345971563981,0.2926829268292683,0.6833810888252149
0.6402439024390244,0.8984427894380501,0.3035230352303523,0.6862464183381088
0.6478658536585366,0.9038591740013541,0.3062330623306233,0.6905444126074498
0.6554878048780488,0.9072444143534191,0.3089430894308943,0.6962750716332379
0.6570121951219512,0.9106296547054841,0.3116531165311653,0.7034383954154728
0.6676829268292683,0.9126607989167231,0.3143631436314363,0.7034383954154728
0.6737804878048781,0.9174001354096141,0.3224932249322493,0.7077363896848138
0.6814024390243902,0.9180771834800271,0.33604336043360433,0.7191977077363897
0.6890243902439024,0.9207853757616791,0.34688346883468835,0.7220630372492837
0.6920731707317073,0.923493568043331,0.35501355013550134,0.7249283667621776
0.698170731707317,0.926201760324983,0.3685636856368564,0.7277936962750716
0.7057926829268293,0.926878808395396,0.37398373983739835,0.7292263610315186
0.711890243902439,0.9316181448882871,0.37398373983739835,0.7335243553008596
0.7164634146341463,0.9343263371699391,0.3794037940379404,0.7378223495702005
0.7225609756097561,0.936357481381178,0.3821138211382114,0.7421203438395415
0.7301829268292683,0.9383886255924171,0.39295392953929537,0.7464183381088825
0.739329268292683,0.9417738659444821,0.3956639566395664,0.7535816618911175
0.7454268292682927,0.9444820582261341,0.41192411924119243,0.7564469914040115
0.7576219512195121,0.9451591062965471,0.4254742547425474,0.7593123209169055
0.7682926829268293,0.9485443466486121,0.43089430894308944,0.7650429799426934
0.7789634146341463,0.949221394719025,0.43089430894308944,0.7722063037249284
0.7850609756097561,0.95260663507109,0.4363143631436314,0.7822349570200573
0.7896341463414634,0.9546377792823291,0.4444444444444444,0.7908309455587392
0.8003048780487805,0.9553148273527421,0.46612466124661245,0.7965616045845272
0.801829268292683,0.956668923493568,0.46883468834688347,0.8008595988538681
0.8064024390243902,0.9587000677048071,0.4796747967479675,0.8065902578796562
0.8125,0.9620853080568721,0.4905149051490515,0.8080229226361032
0.8155487804878049,0.963439404197698,0.4959349593495935,0.8094555873925502
0.8307926829268293,0.9647935003385241,0.4959349593495935,0.8151862464183381
0.8353658536585366,0.965470548408937,0.4986449864498645,0.8194842406876791
0.8399390243902439,0.966824644549763,0.5013550135501355,0.8252148997134671
0.8460365853658537,0.9681787406905891,0.5013550135501355,0.826647564469914
0.8567073170731707,0.970209884901828,0.5040650406504065,0.829512893982808
0.8658536585365854,0.9715639810426541,0.5094850948509485,0.833810888252149
0.8689024390243902,0.972241029113067,0.5149051490514905,0.836676217765043
0.875,0.975626269465132,0.5176151761517616,0.8409742120343839
0.8826219512195121,0.977657413676371,0.5230352303523035,0.8452722063037249
0.8871951219512195,0.977657413676371,0.5338753387533876,0.8495702005730659
